On-Time Staus of Flight,DESTMARK,DESTGEO,TERM,STRATA,ATYPE,AIRLINE,DEST,GATE,INTDATE,Q1,Q1A,Q1MIL,DEPTIME,PASSTIME,PASSMIN,Q2_1,Q3_1,Q4A,Q4B,Q4C,Q5,Q6,Q7,SAQ,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8G,Q8H,Q8I,Q8J,Q8K,Q8L,Q8M,Q8N,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q11,Q12,Q13,Q13A1,Q13A2,Q13A3,Q14,Q15A,Q15B,Q16,Q17,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q19,Q20,Q21,MAIL,LANG
2,4,1,1,1,1,25,LAS VEGAS,25,2,85600,1,8:56,10:25,1:29,89,2,1,2,1,1,2,2,2,1,4,4,4,4,4,5,6,6,4,5,6,5,6,4,4,4,6,6,4,4,5,2,,,,,5,5,5,2,1,CA,94115,US,1,5,1,3,1,1
2,4,1,1,1,1,25,LAS VEGAS,25,2,84500,1,8:45,10:25,1:40,100,3,5,2,2,1,2,2,1,1,6,4,6,4,5,3,4,2,5,3,5,6,6,4,5,6,5,6,5,5,2,2,,,,,6,4,5,2,1,CA,94402,US,2,2,1,1,1,1
2,4,1,1,1,1,25,LAS VEGAS,25,2,81500,1,8:15,10:25,2:10,130,2,2,3,2,2,1,1,1,1,6,6,3,4,3,6,6,3,2,6,6,6,6,3,3,6,6,6,6,6,4,2,,,,,7,5,5,2,3,ID,83860,US,10,7,2,0,1,1
2,4,1,1,1,1,25,LAS VEGAS,25,2,80000,1,8:00,10:25,2:25,145,1,4,1,2,1,2,2,1,1,5,4,4,4,6,6,6,6,5,6,6,6,6,5,5,5,6,6,5,6,5,2,,,,,5,5,4,2,3,WA,98520,US,10,2,2,1,1,1
2,4,1,1,1,1,25,LAS VEGAS,25,2,83000,1,8:30,10:25,1:55,115,2,2,1,1,1,2,2,3,2,5,3,3,4,4,4,6,6,4,4,4,4,4,4,5,6,4,4,4,4,5,1,4,,,,6,5,5,2,1,CA,94062,US,2,5,2,0,1,1
2,4,1,1,1,1,25,LAS VEGAS,25,2,92000,1,9:20,10:25,1:05,65,3,2,1,2,2,2,2,2,2,3,4,4,4,3,4,4,4,3,3,2,6,2,3,2,6,3,0,3,3,4,2,,,,,6,4,1,1,3,TX,77098,US,11,6,2,3,1,1
2,4,1,1,1,1,25,LAS VEGAS,25,2,90000,1,9:00,10:25,1:25,85,3,6,1,2,1,2,2,2,2,3,3,4,5,0,5,4,4,0,0,6,6,6,4,4,6,6,6,4,5,5,2,,,,,5,5,5,2,3,,,AUSTRALIA,19,4,1,2,1,1
2,4,1,1,1,1,25,LAS VEGAS,25,2,92500,1,9:25,10:25,1:00,60,3,2,1,0,0,2,2,2,2,6,6,5,5,5,6,6,6,5,6,6,6,6,5,5,6,6,6,6,5,5,2,,,,,5,5,5,2,1,CA,94134,US,1,5,1,2,1,1
3,4,1,1,2,1,25,PHOENIX,23,2,90000,1,9:00,11:25,2:25,145,2,6,1,2,2,2,2,1,1,6,5,5,5,6,5,6,5,6,6,6,6,6,5,5,6,6,6,6,6,5,2,,,,,5,5,5,2,3,AR,72022,US,11,5,2,2,1,1
3,4,1,1,2,1,25,PHOENIX,23,2,70000,1,7:00,11:25,4:25,265,3,3,1,1,1,2,2,2,1,4,3,3,5,5,5,6,5,6,6,6,6,6,4,3,6,5,6,3,3,5,1,5,4,8,,11,5,5,2,4,PA,15232,US,12,2,2,1,1,1
3,4,1,1,2,1,25,PHOENIX,23,2,100000,1,10:00,11:25,1:25,85,2,2,1,1,1,2,2,3,1,6,5,5,5,5,5,5,5,5,5,6,6,6,5,4,6,6,6,5,4,5,2,,,,,6,5,5,2,3,TX,77584,US,11,6,2,3,1,1
3,4,1,1,2,1,25,PHOENIX,23,2,91500,1,9:15,11:25,2:10,130,3,6,1,2,1,1,2,5,1,2,4,3,4,4,4,2,4,2,3,5,3,5,4,3,4,4,5,3,4,5,1,3,6,4,,5,4,4,2,3,IN,46236,US,11,3,1,2,1,1
3,4,1,1,2,1,25,PHOENIX,23,2,90000,1,9:00,11:25,2:25,145,2,4,2,2,1,1,2,1,1,6,3,3,5,6,4,6,6,4,6,6,6,6,4,3,6,6,6,3,3,4,2,,,,,5,5,5,1,3,NH,3038,US,12,5,1,2,1,1
