Aircraft ID,Tail Number,Aircraft Model,Airline,Status,Creation Date,Modification Date
12844,12,SHORTS-360,Southern Air,Active,07/31/2019 03:29:00 PM,07/31/2019 03:47:00 PM
12845,14,SHORTS-360,Southern Air,Active,07/31/2019 03:32:00 PM,07/31/2019 03:48:00 PM
9824,151UW,A321-200,American Airlines,Active,10/22/2015 07:30:00 AM,
2035,18702,B747-400,China Cargo Airlines,Active,02/12/2010 02:19:00 PM,
12453,198SY,E175-,Skywest Airlines,Active,12/18/2018 12:22:00 AM,
5772,215US,DC9-30,Signature Flight Support,Active,09/07/2012 07:53:00 PM,
12877,222,A320-200,Air Canada,Active,08/09/2019 09:33:00 AM,
9479,268,A319-,Air Canada,Active,05/21/2015 06:17:00 AM,
6908,2985UA,B747-400,United Airlines,Active,06/27/2013 04:06:00 PM,
6909,2994UA,B777-200,United Airlines,Active,06/27/2013 04:06:00 PM,
7779,316US,A320-200,Delta Air Lines,Active,10/24/2013 03:01:00 PM,
799,318SW,B737-300,Southwest Airlines,Active,03/07/2009 07:47:00 AM,
216,3203EV,B747-400,Evergreen International Airlines,Active,01/23/2009 12:00:00 AM,
1045,327NW,A320-200,Delta Air Lines,Active,05/11/2009 07:47:00 AM,06/14/2010 08:54:00 AM
1015,344NW,A320-200,Delta Air Lines,Active,05/03/2009 11:25:00 AM,11/19/2011 02:22:00 PM
9095,347NW,A320-200,Delta Air Lines,Active,12/30/2014 07:51:00 PM,
1017,3717DL,B737-800,Delta Air Lines,Active,05/03/2009 02:51:00 PM,
1073,3725DL,B737-800,Delta Air Lines,Active,05/15/2009 02:47:00 PM,01/07/2010 04:27:00 PM
517,373PC,A300-B2,Swissport USA,Active,01/23/2009 12:00:00 AM,
11789,3FN,B737-800,American Airlines,Active,12/25/2017 05:31:00 PM,
6910,4015UA,A320-200,United Airlines,Active,06/27/2013 04:06:00 PM,
12580,407KZ,B747-400,Nippon Cargo Airlines,Active,03/05/2019 12:48:00 AM,
1410,409SW,CRJ-200,Delta Air Lines,Active,08/03/2009 03:15:00 PM,
6911,425UA,B737-800,United Airlines,Active,06/27/2013 04:06:00 PM,
1074,459SW,CRJ-200,Skywest Airlines,Active,05/15/2009 02:49:00 PM,10/25/2017 09:14:00 AM
9097,488UA,A320-200,United Airlines,Active,12/31/2014 04:00:00 PM,
1281,492SW,CRJ-200,Delta Air Lines,Active,06/29/2009 02:29:00 PM,
4296,4BJME,A340-300,Swiss International,Active,12/16/2011 11:52:00 PM,
13204,4X - EDK,B787-9,El Al Israel Airlines LTD.,Active,11/15/2019 11:31:00 AM,
12744,4X-EDA,B787-9,El Al Israel Airlines LTD.,Active,06/23/2019 04:20:00 PM,
13165,4X-EDE,B787-9,El Al Israel Airlines LTD.,Active,11/07/2019 04:55:00 PM,
13433,4XED8,B787-9,El Al Israel Airlines LTD.,Active,12/27/2019 03:25:00 PM,
12722,4XEDB,B787-9,El Al Israel Airlines LTD.,Active,06/02/2019 09:26:00 PM,
13185,4XEDC,B787-9,El Al Israel Airlines LTD.,Active,11/12/2019 12:52:00 PM,
12767,4XEDD,B787-9,El Al Israel Airlines LTD.,Active,06/30/2019 05:29:00 PM,
12728,4XEDH,B787-9,El Al Israel Airlines LTD.,Active,06/10/2019 01:11:00 AM,
12713,4XEDI,B787-9,El Al Israel Airlines LTD.,Active,05/29/2019 12:55:00 PM,12/27/2019 10:42:00 AM
13493,4XEDJ,B787-8,El Al Israel Airlines LTD.,Active,01/03/2020 11:58:00 AM,
13272,4XEDM,B787-9,El Al Israel Airlines LTD.,Active,11/29/2019 08:24:00 AM,
13645,4XERA,B787-8,El Al Israel Airlines LTD.,Active,02/17/2020 03:54:00 AM,
13593,4XERB,B787-8,El Al Israel Airlines LTD.,Active,02/06/2020 02:24:00 PM,
9825,546UW,A321-200,American Airlines,Active,10/22/2015 07:30:00 AM,
9826,552UW,A321-200,American Airlines,Active,10/22/2015 07:30:00 AM,
7781,565NW,B757-200,Delta Air Lines,Active,10/24/2013 03:01:00 PM,
11304,569WN,B737-700,Southwest Airlines,Active,03/13/2017 09:06:00 AM,
6912,580S,EMB-120,United Airlines,Active,06/27/2013 04:06:00 PM,
9094,604CZ,EMB-170,Compass Airlines,Active,12/30/2014 03:29:00 PM,
2223,607SK,CRJ-900,Delta Air Lines,Active,05/17/2010 05:13:00 PM,
1760,608SK,CRJ-700,Delta Air Lines,Active,11/15/2009 03:15:00 PM,
9093,609CZ,EMB-170,Compass Airlines,Active,12/30/2014 03:27:00 PM,
7921,632CZ,EMB-170,Compass Airlines,Active,10/26/2013 10:42:00 AM,06/10/2014 10:50:00 AM
2929,66154,C17A-,Signature Flight Support,Active,01/16/2011 03:59:00 AM,01/16/2015 03:46:00 AM
