STREETA,STREETB,DIRECTION,AM_PEAKVOL,PM_PEAKVOL,DATE
5TH ST,P ST,NB,9370,1072,04/17/1997
CLOUDVIEW DR,LEMITAR WY,NB/SB,7637,55,05/06/1992
21ST AV,54TH ST,EB/WB,6911,879,03/06/2019
WATT AV,AMERICAN RIVER DR,NB/SB,6703,7054,06/22/1995
WATT AV,RT 50 WBON R,NB/SB,6582,6170,06/20/1995
59TH ST,LORRAINE CT,NB/SB,6243,4147,11/14/2001
BELL AV,MAY ST,EB/WB,5803,509,03/26/1998
DEL PASO BL,NORTHGATE BL,SB,5555,433,08/17/2000
65TH ST,RT 50,NB/SB,5152,5044,09/18/2008
N ST,18TH ST,EB/WB,4800,785,03/20/1996
WATT AV,RT 50 EBON R,NB/SB,4778,5101,06/22/1995
14TH AV,62ND ST,EB/WB,4763,4458,11/14/2001
WATT AV,RT 50 WBON R,NB/SB,4758,4907,06/20/1995
HOWE AV,RT 50 EBON R,NB/SB,4529,5151,11/16/1993
HOWE AV,RT 50,NB/SB,4294,4572,10/25/2007
CARLSON DR,SANDBURG DR,NB/SB,4256,7648,09/13/2002
HOWE AV,FOLSOM BL,NB/SB,4188,4303,10/01/1998
ARDEN WY,HERITAGE LN,EB/WB,4154,4920,06/19/1998
HOWE AV,AMERICAN AV,NB/SB,4128,4921,03/23/1999
HOWE AV,SWARTHMORE DR,NB/SB,4125,4748,10/22/2008
14TH AV,58TH ST,EB/WB,4123,4397,11/14/2001
14TH AV,55TH ST,EB/WB,4097,4262,11/14/2001
POWER INN RD,RT 50,NB/SB,4055,4309,02/05/2003
CARLSON DR,SANDBURG DR,NB/SB,4039,7460,09/12/2002
HOWE AV,AMERICAN RIVER DR,NB/SB,4019,4767,08/27/2002
14TH AV,50TH AV,EB/WB,3965,3985,11/14/2001
ARDEN WY,RT 80 NBON R,EB/WB,3939,5266,09/24/1998
HOWE AV,LA RIVERA DR,NB/SB,3901,4728,02/05/2003
HOWE AV,AMERICAN RIVER DR,NB/SB,3897,4459,10/18/2007
HOWE AV,FAIR OAKS BL,NB/SB,3890,5206,10/01/1998
