Offense_Code,Offense_Category,Description,Police_District,Beat,Occurence_Date
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4B,2021/01/01 09:08:00+00
5404,TRAFFIC,23153(A) DUI ALCOHOL W/INJ,1,1A,2021/01/01 09:41:00+00
1299,ROBBERY,211 PC ROBBERY-BUSINESS,4,4A,2021/01/01 22:25:00+00
2399,LARCENY,484 PC PETTY THEFT,3,3B,2021/01/01 11:06:00+00
2299,BURGLARY,459 PC BURG VEHICLE,6,6B,2021/01/01 08:00:00+00
1315,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,4,4A,2021/01/02 03:49:00+00
5212,WEAPON OFFENSE,417(A)2) PC BRANDISH FIREARM,1,1A,2021/01/01 09:12:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,2021/01/02 13:30:00+00
5404,TRAFFIC,23152(A) DUI ALCOHOL,5,5B,2021/01/02 04:26:00+00
5404,TRAFFIC,23152(A) DUI ALCOHOL,2,2B,2021/01/02 02:16:00+00
4803,OBSTRUCTING,148.9(A) PC FALSE ID TO OFCR,3,3B,2021/01/01 23:32:00+00
3599,NARCOTICS,11350(A) POSS CONTROLLED SUBST,2,2B,2021/01/01 22:31:00+00
3599,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2A,2021/01/01 14:37:00+00
5213,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,2,2C,2021/01/01 09:47:00+00
2404,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6C,2021/01/02 12:17:00+00
5213,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,2,2B,2021/01/01 08:51:00+00
1315,AGG ASSAULT,245(A)(2) AWDW-FIREARM,2,2C,2021/01/02 03:15:00+00
2202,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1A,2021/01/02 05:03:00+00
5213,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,5,5B,2021/01/02 06:04:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,2021/01/02 05:00:00+00
5213,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,2,2B,2021/01/01 08:18:00+00
1315,AGG ASSAULT,245(A)(2) AWDW-FIREARM,2,2C,2021/01/02 01:59:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,2021/01/02 05:00:00+00
3599,NARCOTICS,11370.1(A) POSSESS WHILE ARMED,5,5A,2021/01/01 08:13:00+00
5404,TRAFFIC,23152(A) DUI ALCOHOL,2,2C,2021/01/02 06:14:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,2021/01/02 13:30:00+00
2299,BURGLARY,459 PC BURG UNSPECIFIED-MISD,6,6C,2021/01/02 13:20:00+00
1313,BATTERY,242 PC BATTERY CIVILIAN,5,5B,2021/01/02 06:56:00+00
2203,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1C,2021/01/02 05:04:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4B,2021/01/01 10:40:00+00
5401,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,4,4B,2021/01/01 09:56:00+00
